order_date,delivery_date
11/2/16,11/4/16
6/19/12,6/22/12
12/26/14,12/31/14
10/25/13,11/8/13
5/7/18,5/12/18
5/7/17,5/15/17
3/8/13,3/15/13
3/3/10,4/7/10
6/5/23,6/19/23
2/22/15,2/27/15
2/20/21,2/23/21
7/17/18,7/20/18
11/11/13,11/18/13
4/21/14,4/24/14
3/9/22,3/15/22
3/22/23,4/5/23
2/18/11,2/25/11
4/19/23,5/22/23
9/18/21,9/22/21
9/11/19,9/21/19
8/17/17,8/31/17
6/4/23,6/9/23
9/8/12,9/12/12
12/26/14,1/5/15
4/3/10,4/10/10
7/12/20,7/15/20
12/8/18,12/13/18
3/5/15,3/7/15
4/23/11,4/28/11
6/1/11,6/13/11
9/5/14,9/15/14
4/1/18,4/9/18
1/9/14,1/13/14
4/12/17,4/19/17
7/4/11,7/9/11
8/10/18,8/15/18
6/3/13,6/10/13
11/6/12,11/12/12
12/15/18,12/18/18
9/26/20,10/10/20
10/3/21,10/9/21
6/18/15,7/15/15
1/27/11,1/29/11
9/17/16,9/30/16
9/28/22,10/3/22
9/30/22,10/7/22
11/10/22,11/15/22
2/7/16,2/12/16
12/21/11,12/27/11
6/4/12,6/11/12
3/2/24,3/9/24
9/2/16,9/5/16
7/22/13,7/29/13
11/16/20,11/21/20
10/12/24,10/26/24
7/26/14,8/5/14
5/13/10,5/28/10
3/30/24,4/5/24
10/7/20,10/22/20
12/25/16,1/2/17
2/11/21,2/18/21
6/29/16,7/4/16
9/6/23,9/8/23
5/1/10,5/12/10
3/28/14,4/4/14
10/1/11,10/5/11
1/2/23,1/9/23
10/27/11,11/1/11
2/23/21,2/27/21
6/26/12,7/9/12
10/1/23,10/5/23
10/27/20,11/11/20
12/18/24,12/21/24
10/30/19,11/2/19
3/8/22,3/14/22
6/8/21,6/22/21
1/8/15,1/15/15
11/16/24,11/21/24
1/7/17,1/14/17
3/10/14,3/12/14
8/19/22,10/3/22
7/5/10,7/27/10
3/31/16,4/4/16
7/20/10,7/27/10
10/19/20,10/24/20
11/11/24,11/28/24
9/12/11,9/14/11
11/13/10,11/24/10
5/12/20,5/14/20
2/14/18,2/24/18
2/5/19,3/19/19
6/16/15,6/23/15
7/16/22,7/29/22
11/26/11,11/30/11
2/15/24,2/19/24
8/4/18,8/9/18
